,Human,Dog,Guinea Pig,Mouse,Pig,Rabbit
bepridil,0.7307185793811034,0.250076892190633,0.2365729545493222,0.0,0.0892151725230045,0.0813257251989616
chlorpromazine,0.0795035549334975,0.0410525737960454,0.0322094065279565,0.0048951568585579,0.0366596053953824,0.0183311748211332
cisapride,0.3596568819206839,0.139553309752856,0.1388041808256306,0.007573386736699,0.0861804277675969,0.0780190141360785
diltiazem,0.0,0.0,0.0,0.0,0.0,0.0
dofetilide,0.418269376869085,0.1411156571382786,0.1584729960511111,0.0357589222866596,0.1001688827646606,0.0942609464782364
mexiletine,0.0177568027697038,0.0508800823524733,0.0644773792643731,0.0,0.0,0.0
ondansetron,0.1584896322640115,0.0770979576122305,0.0574462944169803,0.0,0.0286896625783722,0.026745502738605
quinidine,1.106079828502991,0.7875399858223615,,0.1074059399223316,0.1669784194519895,0.8864797024617714
ranolazine,0.2374000960594987,0.1203891103057654,0.1250951344061355,0.0,0.0111608130513871,0.0720606397805621
sotalol,0.2217595016900193,0.1063674781955667,0.0901196409452102,0.0005944375328249,0.0567120882610714,0.0505811326840981
terfenadine,0.3518084954077712,0.1206155226914316,0.1162451835028604,0.0021565796137365,0.0533105660127601,0.0516706540700301
verapamil,0.0493453361222817,0.0972006202903141,0.0942954167637743,0.0,0.0,0.0
