,Human,Dog,Guinea Pig,Mouse,Pig,Rabbit
ICaL,1,1,1,1,1,1
IK1,1,1,1,1,1,1
IKs,1,1,1,1,1,1
INa,1,1,1,1,1,1
INaL,1,1,0,0,1,0
Ito,1,1,0,1,0,1
hERG,1,1,1,1,1,1
